sk_cid;cd_cid;ds_cid;dt_carga
3048;h618;outros transtornos especificados do ouvido externo;2025-10-04 02:54:51
3049;h619;transtorno não especificado do ouvido externo;2025-10-04 02:54:51
3050;h620;otite externa em doenças bacterianas classificadas em outra parte;2025-10-04 02:54:51
3051;h621;otite externa em doenças virais classificadas em outra parte;2025-10-04 02:54:51
3052;h622;otite externa em micoses;2025-10-04 02:54:51
3053;h623;otite externa em outras doenças infecciosas e parasitárias classificadas em outra parte;2025-10-04 02:54:51
3054;h624;otite externa em outras doenças classificadas em outra parte;2025-10-04 02:54:51
3055;h628;outros transtornos do ouvido externo em doenças classificadas em outra parte;2025-10-04 02:54:51
3056;h650;otite média aguda serosa;2025-10-04 02:54:51
3057;h651;outras otites médias agudas não-supurativas;2025-10-04 02:54:51
3058;h652;otite média serosa crônica;2025-10-04 02:54:51
3059;h653;otite média mucóide crônica;2025-10-04 02:54:51
3060;h654;outras otites médias crônicas não-supurativas;2025-10-04 02:54:51
3061;h659;otite média não-supurativa, não especificada;2025-10-04 02:54:51
3062;h660;otite média aguda supurativa;2025-10-04 02:54:51
3063;h661;otite média tubotimpânica supurativa crônica;2025-10-04 02:54:51
3064;h662;otite média ático-antral supurativa crônica;2025-10-04 02:54:51
3065;h663;outras otites médias supurativas crônicas;2025-10-04 02:54:51
3066;h664;otite média supurativa não especificada;2025-10-04 02:54:51
3067;h669;otite média não especificada;2025-10-04 02:54:51
3068;h670;otite média em doenças bacterianas classificadas em outra parte;2025-10-04 02:54:51
3069;h671;otite média em doenças virais classificadas em outra parte;2025-10-04 02:54:51
3070;h678;otite média em outras doenças classificadas em outra parte;2025-10-04 02:54:51
3071;h680;salpingite da trompa de eustáquio;2025-10-04 02:54:51
3072;h681;obstrução da trompa de eustáquio;2025-10-04 02:54:51
3073;h690;trompa de eustáquio aberta (patente) (patulosa);2025-10-04 02:54:51
3074;h698;outros transtornos especificados da trompa de eustáquio;2025-10-04 02:54:51
3075;h699;transtorno não especificado da trompa de eustáquio;2025-10-04 02:54:51
3076;h700;mastoidite aguda;2025-10-04 02:54:51
3077;h701;mastoidite crônica;2025-10-04 02:54:51
3078;h702;petrosite;2025-10-04 02:54:51
3079;h708;outras mastoidites e afecções relacionadas com a mastoidite;2025-10-04 02:54:51
3080;h709;mastoidite não especificada;2025-10-04 02:54:51
3081;h71;colesteatoma do ouvido médio;2025-10-04 02:54:51
3082;h720;perfuração central da membrana do tímpano;2025-10-04 02:54:51
3083;h721;perfuração ática da membrana do tímpano;2025-10-04 02:54:51
3084;h722;outras perfurações marginais da membrana do tímpano;2025-10-04 02:54:51
3085;h728;outras perfurações da membrana do tímpano;2025-10-04 02:54:51
3086;h729;perfuração não especificada da membrana do tímpano;2025-10-04 02:54:51
3087;h730;miringite aguda;2025-10-04 02:54:51
3088;h731;miringite crônica;2025-10-04 02:54:51
3089;h738;outros transtornos especificados da membrana do tímpano;2025-10-04 02:54:51
3090;h739;transtorno não especificado da membrana do tímpano;2025-10-04 02:54:51
3091;h740;timpanosclerose;2025-10-04 02:54:51
3092;h741;doença adesiva do ouvido médio;2025-10-04 02:54:51
3093;h742;descontinuidade e deslocamento dos ossículos do ouvido;2025-10-04 02:54:51
3094;h743;outras anormalidades adquiridas dos ossículos do ouvido;2025-10-04 02:54:51
3095;h744;pólipo do ouvido médio;2025-10-04 02:54:51
3096;h748;outros transtornos especificados do ouvido médio e da mastóide;2025-10-04 02:54:51
3097;h749;transtorno não especificado do ouvido médio e da mastóide;2025-10-04 02:54:51
3098;h750;mastoidite em doenças infecciosas e parasitárias classificadas em outra parte;2025-10-04 02:54:51
3099;h758;outros transtornos especificados do ouvido médio e da mastóide em doenças classificadas em outra parte;2025-10-04 02:54:51
3100;h800;otosclerose que compromete a janela oval, não-obliterante;2025-10-04 02:54:51
3101;h801;otosclerose que compromete a janela oval, obliterante;2025-10-04 02:54:51
3102;h802;otosclerose da cóclea;2025-10-04 02:54:51
3103;h808;outras otoscleroses;2025-10-04 02:54:51
3104;h809;otosclerose não especificada;2025-10-04 02:54:51
3105;h810;doença de ménière;2025-10-04 02:54:51
3106;h811;vertigem paroxística benigna;2025-10-04 02:54:51
3107;h812;neuronite vestibular;2025-10-04 02:54:51
3108;h813;outras vertigens periféricas;2025-10-04 02:54:51
3109;h814;vertigem de origem central;2025-10-04 02:54:51
3110;h818;outros transtornos da função vestibular;2025-10-04 02:54:51
3111;h819;transtornos não especificados da função vestibular;2025-10-04 02:54:51
3112;h82;síndromes vertiginosas em doenças classificadas em outra parte;2025-10-04 02:54:51
3113;h830;labirintite;2025-10-04 02:54:51
3114;h831;fístula do labirinto;2025-10-04 02:54:51
3115;h832;disfunção do labirinto;2025-10-04 02:54:51
3116;h833;efeitos do ruído sobre o ouvido interno;2025-10-04 02:54:51
3117;h838;outros transtornos especificados do ouvido interno;2025-10-04 02:54:51
3118;h839;transtorno não especificado do ouvido interno;2025-10-04 02:54:51
3119;h900;perda de audição bilateral devida a transtorno de condução;2025-10-04 02:54:51
3120;h901;perda de audição unilateral por transtorno de condução, sem restrição de audição contralateral;2025-10-04 02:54:51
3121;h902;perda não especificada de audição devida a transtorno de condução;2025-10-04 02:54:51
3122;h903;perda de audição bilateral neuro-sensorial;2025-10-04 02:54:51
3123;h904;perda de audição unilateral neuro-sensorial, sem restrição de audição contralateral;2025-10-04 02:54:51
3124;h905;perda de audição neuro-sensorial não especificada;2025-10-04 02:54:51
3125;h906;perda de audição bilateral mista, de condução e neuro-sensorial;2025-10-04 02:54:51
3126;h907;perda de audição unilateral mista, de condução e neuro-sensorial, sem restrição de audição contralateral;2025-10-04 02:54:51
3127;h908;perda de audição mista, de condução e neuro-sensorial, não especificada;2025-10-04 02:54:51
3128;h910;perda de audição ototóxica;2025-10-04 02:54:51
3129;h911;presbiacusia;2025-10-04 02:54:51
3130;h912;perda de audição súbita idiopática;2025-10-04 02:54:51
3131;h913;surdo-mudez não classificada em outra parte;2025-10-04 02:54:51
3132;h918;outras perdas de audição especificadas;2025-10-04 02:54:51
3133;h919;perda não especificada de audição;2025-10-04 02:54:51
3134;h920;otalgia;2025-10-04 02:54:51
3135;h921;otorréia;2025-10-04 02:54:51
3136;h922;otorragia;2025-10-04 02:54:51
3137;h930;transtornos degenerativos e vasculares do ouvido;2025-10-04 02:54:51
3138;h931;tinnitus;2025-10-04 02:54:51
3139;h932;outras percepções auditivas anormais;2025-10-04 02:54:51
3140;h933;transtornos do nervo acústico;2025-10-04 02:54:51
3141;h938;outros transtornos especificados do ouvido;2025-10-04 02:54:51
3142;h939;transtorno não especificado do ouvido;2025-10-04 02:54:51
3143;h940;neurite acústica em doenças infecciosas e parasitárias classificadas em outra parte;2025-10-04 02:54:51
3144;h948;outros transtornos especificados do ouvido em doenças classificadas em outra parte;2025-10-04 02:54:51
3145;h950;colesteatoma recorrente da cavidade pós-mastoidectomia;2025-10-04 02:54:51
3146;h951;outros transtornos conseqüentes à mastoidectomia;2025-10-04 02:54:51
3147;h958;outros transtornos do ouvido e da apófise mastóide pós-procedimento;2025-10-04 02:54:51
3148;h959;transtorno não especificado do ouvido e da apófise mastóide pós-procedimento;2025-10-04 02:54:51
3149;i00;febre reumática sem menção de comprometimento do coração;2025-10-04 02:54:51
3150;i010;pericardite reumática aguda;2025-10-04 02:54:51
3151;i011;endocardite reumática aguda;2025-10-04 02:54:51
3152;i012;miocardite reumática aguda;2025-10-04 02:54:51
3153;i018;outras formas de doença cardíaca reumática aguda;2025-10-04 02:54:51
3154;i019;doença cardíaca reumática aguda não especificada;2025-10-04 02:54:51
3155;i020;coréia reumática com comprometimento cardíaco;2025-10-04 02:54:51
3156;i029;coréia reumática sem comprometimento cardíaco;2025-10-04 02:54:51
3157;i050;estenose mitral;2025-10-04 02:54:51
3158;i051;insuficiência mitral reumática;2025-10-04 02:54:51
3159;i052;estenose mitral com insuficiência;2025-10-04 02:54:51
3160;i058;outras doenças da valva mitral;2025-10-04 02:54:51
3161;i059;doença não especificada da valva mitral;2025-10-04 02:54:51
3162;i060;estenose aórtica reumática;2025-10-04 02:54:51
3163;i061;insuficiência aórtica reumática;2025-10-04 02:54:51
3164;i062;estenose aórtica reumática com insuficiência;2025-10-04 02:54:51
3165;i068;outras doenças reumáticas da valva aórtica;2025-10-04 02:54:51
3166;i069;doença reumática da valva aórtica, não especificada;2025-10-04 02:54:51
3167;i070;estenose tricúspide;2025-10-04 02:54:51
3168;i071;insuficiência tricúspide;2025-10-04 02:54:51
3169;i072;estenose tricúspide com insuficiência;2025-10-04 02:54:51
3170;i078;outras doenças da valva tricúspide;2025-10-04 02:54:51
3171;i079;doença não especificada da valva tricúspide;2025-10-04 02:54:51
3172;i080;transtornos de valvas mitral e aórtica;2025-10-04 02:54:51
3173;i081;transtornos de ambas as valvas mitral e tricúspide;2025-10-04 02:54:51
3174;i082;transtornos de ambas as valvas aórtica e tricúspide;2025-10-04 02:54:51
3175;i083;transtornos das valvas mitral, aórtica e tricúspide;2025-10-04 02:54:51
3176;i088;outras doenças de múltiplas valvas;2025-10-04 02:54:51
3177;i089;doença não especificada de múltiplas valvas;2025-10-04 02:54:51
3178;i090;miocardite reumática;2025-10-04 02:54:51
3179;i091;doenças reumáticas do endocárdio, valva não especificada;2025-10-04 02:54:51
3180;i092;pericardite reumática crônica;2025-10-04 02:54:51
3181;i098;outras doenças reumáticas especificadas do coração;2025-10-04 02:54:51
3182;i099;doença cardíaca reumática não especificada;2025-10-04 02:54:51
3183;i10;hipertensão essencial (primária);2025-10-04 02:54:51
3184;i110;doença cardíaca hipertensiva com insuficiência cardíaca (congestiva);2025-10-04 02:54:51
3185;i119;doença cardíaca hipertensiva sem insuficiência cardíaca (congestiva);2025-10-04 02:54:51
3186;i120;doença renal hipertensiva com insuficiência renal;2025-10-04 02:54:51
3187;i129;doença renal hipertensiva sem insuficiência renal;2025-10-04 02:54:51
3188;i130;doença cardíaca e renal hipertensiva com insuficiência cardíaca (congestiva);2025-10-04 02:54:51
3189;i131;doença cardíaca e renal hipertensiva com insuficiência renal;2025-10-04 02:54:51
3190;i132;doença cardíaca e renal hipertensiva com insuficiência cardíaca (congestiva) e insuficiência renal;2025-10-04 02:54:51
3191;i139;doença cardíaca e renal hipertensiva, não especificada;2025-10-04 02:54:51
3192;i150;hipertensão renovascular;2025-10-04 02:54:51
3193;i151;hipertensão secundária a outras afecções renais;2025-10-04 02:54:51
3194;i152;hipertensão secundária a afecções endócrinas;2025-10-04 02:54:51
3195;i158;outras formas de hipertensão secundária;2025-10-04 02:54:51
3196;i159;hipertensão secundária, não especificada;2025-10-04 02:54:51
3197;i200;angina instável;2025-10-04 02:54:51
3198;i201;angina pectoris com espasmo documentado;2025-10-04 02:54:51
3199;i208;outras formas de angina pectoris;2025-10-04 02:54:51
3200;i209;angina pectoris, não especificada;2025-10-04 02:54:51
3201;i210;infarto agudo transmural da parede anterior do miocárdio;2025-10-04 02:54:51
3202;i211;infarto agudo transmural da parede inferior do miocárdio;2025-10-04 02:54:51
3203;i212;infarto agudo transmural do miocárdio de outras localizações;2025-10-04 02:54:51
3204;i213;infarto agudo transmural do miocárdio, de localização não especificada;2025-10-04 02:54:51
3205;i214;infarto agudo subendocárdico do miocárdio;2025-10-04 02:54:51
3206;i219;infarto agudo do miocárdio não especificado;2025-10-04 02:54:51
3207;i220;infarto do miocárdio recorrente da parede anterior;2025-10-04 02:54:51
3208;i221;infarto do miocárdio recorrente da parede inferior;2025-10-04 02:54:51
3209;i228;infarto do miocárdio recorrente de outras localizações;2025-10-04 02:54:51
3210;i229;infarto do miocárdio recorrente de localização não especificada;2025-10-04 02:54:51
3211;i230;hemopericárdio como complicação atual subseqüente ao infarto agudo do miocárdio;2025-10-04 02:54:51
3212;i231;comunicação interatrial como complicação atual subseqüente ao infarto agudo do miocárdio;2025-10-04 02:54:51
3213;i232;comunicação interventricular como complicação atual subseqüente ao infarto agudo do miocárdio;2025-10-04 02:54:51
3214;i233;ruptura da parede do coração sem ocorrência de hemopericárdio como complicação atual subseqüente ao infarto agudo do miocárdio;2025-10-04 02:54:51
3215;i234;ruptura de cordoalhas tendíneas como complicação atual subseqüente ao infarto agudo do miocárdio;2025-10-04 02:54:51
3216;i235;ruptura de músculos papilares como complicação atual subseqüente ao infarto agudo do miocárdio;2025-10-04 02:54:51
3217;i236;trombose de átrio, aurícula e ventrículo como complicação atual subseqüente ao infarto agudo do miocárdio;2025-10-04 02:54:51
3218;i238;outras complicações atuais subseqüentes ao infarto agudo do miocárdio;2025-10-04 02:54:51
3219;i240;trombose coronária que não resulta em infarto do miocárdio;2025-10-04 02:54:51
3220;i241;síndrome de dressler;2025-10-04 02:54:51
3221;i248;outras formas de doença isquêmica aguda do coração;2025-10-04 02:54:51
3222;i249;doença isquêmica aguda do coração não especificada;2025-10-04 02:54:51
3223;i250;doença cardiovascular aterosclerótica, descrita desta maneira;2025-10-04 02:54:51
3224;i251;doença aterosclerótica do coração;2025-10-04 02:54:51
3225;i252;infarto antigo do miocárdio;2025-10-04 02:54:51
3226;i253;aneurisma cardíaco;2025-10-04 02:54:51
3227;i254;aneurisma de artéria coronária;2025-10-04 02:54:51
3228;i255;miocardiopatia isquêmica;2025-10-04 02:54:51
3229;i256;isquemia miocárdica silenciosa;2025-10-04 02:54:51
3230;i258;outras formas de doença isquêmica crônica do coração;2025-10-04 02:54:51
3231;i259;doença isquêmica crônica do coração não especificada;2025-10-04 02:54:51
3232;i260;embolia pulmonar com menção de cor pulmonale agudo;2025-10-04 02:54:51
3233;i269;embolia pulmonar sem menção de cor pulmonale agudo;2025-10-04 02:54:51
3234;i270;hipertensão pulmonar primária;2025-10-04 02:54:51
3235;i271;cardiopatia cifoescoliótica;2025-10-04 02:54:51
3236;i272;outra hipertensão pulmonar secundária;2025-10-04 02:54:51
3237;i278;outras doenças pulmonares do coração especificadas;2025-10-04 02:54:51
3238;i279;cardiopatia pulmonar não especificada;2025-10-04 02:54:51
3239;i280;fístula arteriovenosa de vasos pulmonares;2025-10-04 02:54:51
3240;i281;aneurisma da artéria pulmonar;2025-10-04 02:54:51
3241;i288;outras doenças especificadas dos vasos pulmonares;2025-10-04 02:54:51
3242;i289;doença não especificada dos vasos pulmonares;2025-10-04 02:54:51
3243;i300;pericardite aguda idiopática não específica;2025-10-04 02:54:51
3244;i301;pericardite infecciosa;2025-10-04 02:54:51
3245;i308;outras formas de pericardite aguda;2025-10-04 02:54:51
3246;i309;pericardite aguda não especificada;2025-10-04 02:54:51
3247;i310;pericardite adesiva crônica;2025-10-04 02:54:51
3248;i311;pericardite constritiva crônica;2025-10-04 02:54:51
3249;i312;hemopericárdio não classificado em outra parte;2025-10-04 02:54:51
3250;i313;derrame pericárdico (não-inflamatório);2025-10-04 02:54:51
3251;i318;outras doenças especificadas do pericárdio;2025-10-04 02:54:51
3252;i319;doença não especificada do pericárdio;2025-10-04 02:54:51
3253;i320;pericardite em doenças bacterianas classificadas em outra parte;2025-10-04 02:54:51
3254;i321;pericardite em outras doenças infecciosas e parasitárias classificadas em outra parte;2025-10-04 02:54:51
3255;i328;pericardite em outras doenças classificadas em outra parte;2025-10-04 02:54:51
3256;i330;endocardite infecciosa aguda e subaguda;2025-10-04 02:54:51
3257;i339;endocardite aguda não especificada;2025-10-04 02:54:51
3258;i340;insuficiência (da valva) mitral;2025-10-04 02:54:51
3259;i341;prolapso (da valva) mitral;2025-10-04 02:54:51
3260;i342;estenose (da valva) mitral, não-reumática;2025-10-04 02:54:51
3261;i348;outros transtornos não-reumáticos da valva mitral;2025-10-04 02:54:51
3262;i349;transtornos não-reumáticos da valva mitral, não especificados;2025-10-04 02:54:51
3263;i350;estenose (da valva) aórtica;2025-10-04 02:54:51
3264;i351;insuficiência (da valva) aórtica;2025-10-04 02:54:51
3265;i352;estenose (da valva) aórtica com insuficiência;2025-10-04 02:54:51
3266;i358;outros transtornos da valva aórtica;2025-10-04 02:54:51
3267;i359;transtornos não especificados da valva aórtica;2025-10-04 02:54:51
3268;i360;estenose (da valva) tricúspide não-reumática;2025-10-04 02:54:51
3269;i361;insuficiência (da valva) tricúspide não-reumática;2025-10-04 02:54:51
3270;i362;estenose (da valva) tricúspide com insuficiência, não-reumática;2025-10-04 02:54:51
3271;i368;outros transtornos não-reumáticos da valva tricúspide;2025-10-04 02:54:51
3272;i369;transtornos não-reumáticos da valva tricúspide, não especificados;2025-10-04 02:54:51
3273;i370;estenose da valva pulmonar;2025-10-04 02:54:51
3274;i371;insuficiência da valva pulmonar;2025-10-04 02:54:51
3275;i372;estenose da valva pulmonar com insuficiência;2025-10-04 02:54:51
3276;i378;outros transtornos da valva pulmonar;2025-10-04 02:54:51
3277;i379;transtornos não especificados da valva pulmonar;2025-10-04 02:54:51
3278;i38;endocardite de valva não especificada;2025-10-04 02:54:51
3279;i390;transtornos da valva mitral em doenças classificadas em outra parte;2025-10-04 02:54:51
3280;i391;transtornos da valva aórtica em doenças classificadas em outra parte;2025-10-04 02:54:51
3281;i392;transtornos da valva tricúspide em doenças classificadas em outra parte;2025-10-04 02:54:51
3282;i393;transtornos da valva pulmonar em doenças classificadas em outra parte;2025-10-04 02:54:51
3283;i394;transtornos de múltiplas valvas em doenças classificadas em outra parte;2025-10-04 02:54:51
3284;i398;endocardite, de valva não especificada, em doenças classificadas em outra parte;2025-10-04 02:54:51
3285;i400;miocardite infecciosa;2025-10-04 02:54:51
3286;i401;miocardite isolada;2025-10-04 02:54:51
3287;i408;outras miocardites agudas;2025-10-04 02:54:51
3288;i409;miocardite aguda não especificada;2025-10-04 02:54:51
3289;i410;miocardite em doenças bacterianas classificadas em outra parte;2025-10-04 02:54:51
3290;i411;miocardite em doenças virais classificadas em outra parte;2025-10-04 02:54:51
3291;i412;miocardite em outras doenças infecciosas e parasitárias classificadas em outra parte;2025-10-04 02:54:51
3292;i418;miocardite em outras doenças classificadas em outra parte;2025-10-04 02:54:51
3293;i420;cardiomiopatia dilatada;2025-10-04 02:54:51
3294;i421;cardiomiopatia obstrutiva hipertrófica;2025-10-04 02:54:51
3295;i422;outras cardiomiopatias hipertróficas;2025-10-04 02:54:51
3296;i423;doença endomiocárdica (eosinofílica);2025-10-04 02:54:51
3297;i424;fibroelastose endocárdica;2025-10-04 02:54:51
3298;i425;outras cardiomiopatias restritivas;2025-10-04 02:54:51
3299;i426;cardiomiopatia alcoólica;2025-10-04 02:54:51
3300;i427;cardiomiopatia devida a drogas e outros agentes externos;2025-10-04 02:54:51
3301;i428;outras cardiomiopatias;2025-10-04 02:54:51
3302;i429;cardiomiopatia não especificada;2025-10-04 02:54:51
3303;i430;cardiomiopatia em doenças infecciosas e parasitárias classificadas em outra parte;2025-10-04 02:54:51
3304;i431;cardiomiopatia em doenças metabólicas;2025-10-04 02:54:51
3305;i432;cardiomiopatia em doenças nutricionais;2025-10-04 02:54:51
3306;i438;cardiomiopatia em outras doenças classificadas em outra parte;2025-10-04 02:54:51
3307;i440;bloqueio atrioventricular de primeiro grau;2025-10-04 02:54:51
3308;i441;bloqueio atrioventricular de segundo grau;2025-10-04 02:54:51
3309;i442;bloqueio atrioventricular total;2025-10-04 02:54:51
3310;i443;outras formas de bloqueio atrioventricular e as não especificadas;2025-10-04 02:54:51
3311;i444;bloqueio do fascículo anterior esquerdo;2025-10-04 02:54:51
3312;i445;bloqueio do fascículo posterior esquerdo;2025-10-04 02:54:51
3313;i446;outras formas de bloqueio fascicular e as não especificadas;2025-10-04 02:54:51
3314;i447;bloqueio de ramo esquerdo não especificado;2025-10-04 02:54:51
3315;i450;bloqueio fascicular direito;2025-10-04 02:54:51
3316;i451;outras formas de bloqueio de ramo direito e as não especificadas;2025-10-04 02:54:51
3317;i452;bloqueio bifascicular;2025-10-04 02:54:51
3318;i453;bloqueio trifascicular;2025-10-04 02:54:51
3319;i454;bloqueio intraventricular não específico;2025-10-04 02:54:51
3320;i455;outras formas especificadas de bloqueio cardíaco;2025-10-04 02:54:51
3321;i456;síndrome de pré-excitação;2025-10-04 02:54:51
3322;i458;outros transtornos especificados da condução;2025-10-04 02:54:51
3323;i459;transtorno de condução não especificado;2025-10-04 02:54:51
3324;i460;parada cardíaca com ressuscitação bem sucedida;2025-10-04 02:54:51
3325;i461;morte súbita (de origem) cardíaca, descrita desta forma;2025-10-04 02:54:51
3326;i469;parada cardíaca não especificada;2025-10-04 02:54:51
3327;i470;arritmia ventricular por reentrada;2025-10-04 02:54:51
3328;i471;taquicardia supraventricular;2025-10-04 02:54:51
3329;i472;taquicardia ventricular;2025-10-04 02:54:51
3330;i479;taquicardia paroxística não especificada;2025-10-04 02:54:51
3331;i48;flutter e fibrilação atrial;2025-10-04 02:54:51
3332;i490;flutter e fibrilação ventricular;2025-10-04 02:54:51
3333;i491;despolarização atrial prematura;2025-10-04 02:54:51
3334;i492;despolarização juncional prematura;2025-10-04 02:54:51
3335;i493;despolarização ventricular prematura;2025-10-04 02:54:51
3336;i494;outras formas de despolarização prematura e as não especificadas;2025-10-04 02:54:51
3337;i495;síndrome do nó sinusal;2025-10-04 02:54:51
3338;i498;outras arritmias cardíacas especificadas;2025-10-04 02:54:51
3339;i499;arritmia cardíaca não especificada;2025-10-04 02:54:51
3340;i500;insuficiência cardíaca congestiva;2025-10-04 02:54:51
3341;i501;insuficiência ventricular esquerda;2025-10-04 02:54:51
3342;i509;insuficiência cardíaca não especificada;2025-10-04 02:54:51
3343;i510;defeito adquirido de septo cardíaco;2025-10-04 02:54:51
3344;i511;ruptura de cordoalha tendínea, não classificada em outra parte;2025-10-04 02:54:51
3345;i512;ruptura de músculo papilar, não classificada em outra parte;2025-10-04 02:54:51
3346;i513;trombose intracardíaca, não classificada em outra parte;2025-10-04 02:54:51
3347;i514;miocardite não especificada;2025-10-04 02:54:51
3348;i515;degeneração miocárdica;2025-10-04 02:54:51
3349;i516;doença cardiovascular não especificada;2025-10-04 02:54:51
3350;i517;cardiomegalia;2025-10-04 02:54:51
3351;i518;outras doenças mal definidas do coração;2025-10-04 02:54:51
3352;i519;doença não especificada do coração;2025-10-04 02:54:51
3353;i520;outras afecções cardíacas em doenças bacterianas classificadas em outra parte;2025-10-04 02:54:51
3354;i521;outras afecções cardíacas em outras doenças infecciosas e parasitárias classificadas em outra parte;2025-10-04 02:54:51
3355;i528;outras afecções cardíacas em outras doenças classificadas em outra parte;2025-10-04 02:54:51
3356;i600;hemorragia subaracnóide proveniente do sifão e da bifurcação da carótida;2025-10-04 02:54:51
3357;i601;hemorragia subaracnóide proveniente da artéria cerebral média;2025-10-04 02:54:51
3358;i602;hemorragia subaracnóide proveniente da artéria comunicante anterior;2025-10-04 02:54:51
3359;i603;hemorragia subaracnóide proveniente da artéria comunicante posterior;2025-10-04 02:54:51
3360;i604;hemorragia subaracnóide proveniente da artéria basilar;2025-10-04 02:54:51
3361;i605;hemorragia subaracnóide proveniente da artéria vertebral;2025-10-04 02:54:51
3362;i606;hemorragia subaracnóide proveniente de outras artérias intracranianas;2025-10-04 02:54:51
3363;i607;hemorragia subaracnóide proveniente de artéria intracraniana não especificada;2025-10-04 02:54:51
3364;i608;outras hemorragias subaracnóides;2025-10-04 02:54:51
3365;i609;hemorragia subaracnóide não especificada;2025-10-04 02:54:51
3366;i610;hemorragia intracerebral hemisférica subcortical;2025-10-04 02:54:51
3367;i611;hemorragia intracerebral hemisférica cortical;2025-10-04 02:54:51
3368;i612;hemorragia intracerebral hemisférica não especificada;2025-10-04 02:54:51
3369;i613;hemorragia intracerebral do tronco cerebral;2025-10-04 02:54:51
3370;i614;hemorragia intracerebral cerebelar;2025-10-04 02:54:51
3371;i615;hemorragia intracerebral intraventricular;2025-10-04 02:54:51
3372;i616;hemorragia intracerebral de múltiplas localizações;2025-10-04 02:54:51
3373;i618;outras hemorragias intracerebrais;2025-10-04 02:54:51
3374;i619;hemorragia intracerebral não especificada;2025-10-04 02:54:51
3375;i620;hemorragia subdural (aguda) (não-traumática);2025-10-04 02:54:51
3376;i621;hemorragia extradural não-traumática;2025-10-04 02:54:51
3377;i629;hemorragia intracraniana (não-traumática) não especificada;2025-10-04 02:54:51
3378;i630;infarto cerebral devido a trombose de artérias pré-cerebrais;2025-10-04 02:54:51
3379;i631;infarto cerebral devido a embolia de artérias pré-cerebrais;2025-10-04 02:54:51
3380;i632;infarto cerebral devido a oclusão ou estenose não especificadas de artérias pré-cerebrais;2025-10-04 02:54:51
3381;i633;infarto cerebral devido a trombose de artérias cerebrais;2025-10-04 02:54:51
3382;i634;infarto cerebral devido a embolia de artérias cerebrais;2025-10-04 02:54:51
3383;i635;infarto cerebral devido a oclusão ou estenose não especificadas de artérias cerebrais;2025-10-04 02:54:51
3384;i636;infarto cerebral devido a trombose venosa cerebral não-piogênica;2025-10-04 02:54:51
3385;i638;outros infartos cerebrais;2025-10-04 02:54:51
3386;i639;infarto cerebral não especificado;2025-10-04 02:54:51
3387;i64;acidente vascular cerebral, não especificado como hemorrágico ou isquêmico;2025-10-04 02:54:51
3388;i650;oclusão e estenose da artéria vertebral;2025-10-04 02:54:51
3389;i651;oclusão e estenose da artéria basilar;2025-10-04 02:54:51
3390;i652;oclusão e estenose da artéria carótida;2025-10-04 02:54:51
3391;i653;oclusão e estenose de artérias pré-cerebrais múltiplas e bilaterais;2025-10-04 02:54:51
3392;i658;oclusão e estenose de outra artéria pré-cerebral;2025-10-04 02:54:51
3393;i659;oclusão e estenose de artérias pré-cerebrais não especificadas;2025-10-04 02:54:51
3394;i660;oclusão e estenose da artéria cerebral média;2025-10-04 02:54:51
3395;i661;oclusão e estenose da artéria cerebral anterior;2025-10-04 02:54:51
3396;i662;oclusão e estenose da artéria cerebral posterior;2025-10-04 02:54:51
3397;i663;oclusão e estenose de artérias cerebelares;2025-10-04 02:54:51
3398;i664;oclusão e estenose de artérias cerebrais, múltiplas e bilaterais;2025-10-04 02:54:51
3399;i668;oclusão e estenose de outra artéria cerebral;2025-10-04 02:54:51
3400;i669;oclusão e estenose de artéria cerebral não especificada;2025-10-04 02:54:51
3401;i670;dissecção de artérias cerebrais, sem ruptura;2025-10-04 02:54:51
3402;i671;aneurisma cerebral não-roto;2025-10-04 02:54:51
3403;i672;aterosclerose cerebral;2025-10-04 02:54:51
3404;i673;leucoencefalopatia vascular progressiva;2025-10-04 02:54:51
3405;i674;encefalopatia hipertensiva;2025-10-04 02:54:51
3406;i675;doença de moyamoya;2025-10-04 02:54:51
3407;i676;trombose não-piogênica do sistema venoso intracraniano;2025-10-04 02:54:51
3408;i677;arterite cerebral não classificada em outra parte;2025-10-04 02:54:51
3409;i678;outras doenças cerebrovasculares especificadas;2025-10-04 02:54:51
3410;i679;doença cerebrovascular não especificada;2025-10-04 02:54:51
3411;i680;angiopatia cerebral amiloidótica;2025-10-04 02:54:51
3412;i681;arterite cerebral em doenças infecciosas e parasitárias;2025-10-04 02:54:51
3413;i682;arterite cerebral em outras doenças classificadas em outra parte;2025-10-04 02:54:51
3414;i688;outros transtornos cerebrovasculares em doenças classificadas em outra parte;2025-10-04 02:54:51
3415;i690;seqüelas de hemorragia subaracnoídea;2025-10-04 02:54:51
3416;i691;seqüelas de hemorragia intracerebral;2025-10-04 02:54:51
3417;i692;seqüelas de outras hemorragias intracranianas não traumáticas;2025-10-04 02:54:51
3418;i693;seqüelas de infarto cerebral;2025-10-04 02:54:51
3419;i694;seqüelas de acidente vascular cerebral não especificado como hemorrágico ou isquêmico;2025-10-04 02:54:51
3420;i698;seqüelas de outras doenças cerebrovasculares e das não especificadas;2025-10-04 02:54:51
3421;i700;aterosclerose da aorta;2025-10-04 02:54:51
3422;i701;aterosclerose da artéria renal;2025-10-04 02:54:51
3423;i702;aterosclerose das artérias das extremidades;2025-10-04 02:54:51
